problem_idx,step,gen_len,steering_active,p_red,error,alpha,I_term,D_term,temperature,token,coeff,chunk_size,raw_classifier
0,0,0,False,0.0,0.0,0.0,0.0,0.0,0.6,.\n\n,0.0,1,0.0
0,1,1,False,0.0,0.0,0.0,0.0,0.0,0.6,Alright,0.0,2,0.0
0,2,2,False,0.0,0.0,0.0,0.0,0.0,0.6,",",0.0,3,0.0
0,3,3,False,0.0,0.0,0.0,0.0,0.0,0.6, so,0.0,4,0.0
0,4,4,False,0.0,0.0,0.0,0.0,0.0,0.6, I,0.0,5,0.0
0,5,5,False,0.0,0.0,0.0,0.0,0.0,0.6, have,0.0,6,0.0
0,6,6,False,0.0,0.0,0.0,0.0,0.0,0.6, this,0.0,7,0.0
0,7,7,False,0.0,0.0,0.0,0.0,0.0,0.6, problem,0.0,8,0.0
0,8,8,False,0.0,0.0,0.0,0.0,0.0,0.6, about,0.0,9,0.0
0,9,9,False,0.0,0.0,0.0,0.0,0.0,0.6, Janet,0.0,10,0.0
0,10,10,False,0.0,0.0,0.0,0.0,0.0,0.6, and,0.0,11,0.0
0,11,11,False,0.0,0.0,0.0,0.0,0.0,0.6, her,0.0,12,0.0
0,12,12,False,0.0,0.0,0.0,0.0,0.0,0.6, ducks,0.0,13,0.0
0,13,13,False,0.0,0.0,0.0,0.0,0.0,0.6,.,0.0,14,0.0
0,14,14,False,0.0,0.0,0.0,0.0,0.0,0.6, Let,0.0,15,0.0
0,15,15,False,0.0,0.0,0.0,0.0,0.0,0.6, me,0.0,16,0.0
0,16,16,False,0.0,0.0,0.0,0.0,0.0,0.6, try,0.0,17,0.0
0,17,17,False,0.0,0.0,0.0,0.0,0.0,0.6, to,0.0,18,0.0
0,18,18,False,0.0,0.0,0.0,0.0,0.0,0.6, break,0.0,19,0.0
0,19,19,False,0.0,0.0,0.0,0.0,0.0,0.6, it,0.0,20,0.0
0,20,20,False,0.0,0.0,0.0,0.0,0.0,0.6, down,0.0,21,0.0
0,21,21,False,0.0,0.0,0.0,0.0,0.0,0.6, step,0.0,22,0.0
0,22,22,False,0.0,0.0,0.0,0.0,0.0,0.6, by,0.0,23,0.0
0,23,23,False,2.734627695054349e-11,0.0,0.0,0.0,0.0,0.6, step,0.0,0,-756.0326441485497
0,24,24,False,0.0,0.0,0.0,0.0,0.0,0.6,.\n\n,0.0,1,0.0
0,25,25,False,0.0,0.0,0.0,0.0,0.0,0.6,First,0.0,2,0.0
0,26,26,False,0.0,0.0,0.0,0.0,0.0,0.6,",",0.0,3,0.0
0,27,27,False,0.0,0.0,0.0,0.0,0.0,0.6, the,0.0,4,0.0
0,28,28,False,0.0,0.0,0.0,0.0,0.0,0.6, problem,0.0,5,0.0
0,29,29,False,0.0,0.0,0.0,0.0,0.0,0.6, says,0.0,6,0.0
0,30,30,False,0.0,0.0,0.0,0.0,0.0,0.6, that,0.0,7,0.0
0,31,31,False,0.0,0.0,0.0,0.0,0.0,0.6, Janet,0.0,8,0.0
0,32,32,False,0.0,0.0,0.0,0.0,0.0,0.6,’s,0.0,9,0.0
0,33,33,False,0.0,0.0,0.0,0.0,0.0,0.6, ducks,0.0,10,0.0
0,34,34,False,0.0,0.0,0.0,0.0,0.0,0.6, lay,0.0,11,0.0
0,35,35,False,0.0,0.0,0.0,0.0,0.0,0.6, ,0.0,12,0.0
0,36,36,False,0.0,0.0,0.0,0.0,0.0,0.6,1,0.0,13,0.0
0,37,37,False,0.0,0.0,0.0,0.0,0.0,0.6,6,0.0,14,0.0
0,38,38,False,0.0,0.0,0.0,0.0,0.0,0.6, eggs,0.0,15,0.0
0,39,39,False,0.0,0.0,0.0,0.0,0.0,0.6, per,0.0,16,0.0
0,40,40,False,0.0,0.0,0.0,0.0,0.0,0.6, day,0.0,17,0.0
0,41,41,False,0.0,0.0,0.0,0.0,0.0,0.6,.,0.0,18,0.0
0,42,42,False,0.0,0.0,0.0,0.0,0.0,0.6, Okay,0.0,19,0.0
0,43,43,False,0.0,0.0,0.0,0.0,0.0,0.6,",",0.0,20,0.0
0,44,44,False,0.0,0.0,0.0,0.0,0.0,0.6, so,0.0,21,0.0
0,45,45,False,0.0,0.0,0.0,0.0,0.0,0.6, every,0.0,22,0.0
0,46,46,False,0.0,0.0,0.0,0.0,0.0,0.6, day,0.0,23,0.0
0,47,47,False,3.166308201905143e-12,0.0,0.0,0.0,0.0,0.6,",",0.0,0,-1351.847402449331
0,48,48,False,0.0,0.0,0.0,0.0,0.0,0.6, the,0.0,1,0.0
0,49,49,False,0.0,0.0,0.0,0.0,0.0,0.6, ducks,0.0,2,0.0
0,50,50,False,0.0,0.0,0.0,0.0,0.0,0.6, produce,0.0,3,0.0
0,51,51,False,0.0,0.0,0.0,0.0,0.0,0.6, ,0.0,4,0.0
0,52,52,False,0.0,0.0,0.0,0.0,0.0,0.6,1,0.0,5,0.0
0,53,53,False,0.0,0.0,0.0,0.0,0.0,0.6,6,0.0,6,0.0
0,54,54,False,0.0,0.0,0.0,0.0,0.0,0.6, eggs,0.0,7,0.0
0,55,55,False,0.0,0.0,0.0,0.0,0.0,0.6,.,0.0,8,0.0
0,56,56,False,0.0,0.0,0.0,0.0,0.0,0.6, Got,0.0,9,0.0
0,57,57,False,0.0,0.0,0.0,0.0,0.0,0.6, that,0.0,10,0.0
0,58,58,False,0.0,0.0,0.0,0.0,0.0,0.6,.\n\n,0.0,11,0.0
0,59,59,False,0.0,0.0,0.0,0.0,0.0,0.6,Then,0.0,12,0.0
0,60,60,False,0.0,0.0,0.0,0.0,0.0,0.6,",",0.0,13,0.0
0,61,61,False,0.0,0.0,0.0,0.0,0.0,0.6, it,0.0,14,0.0
0,62,62,False,0.0,0.0,0.0,0.0,0.0,0.6, mentions,0.0,15,0.0
0,63,63,False,0.0,0.0,0.0,0.0,0.0,0.6, that,0.0,16,0.0
0,64,64,False,0.0,0.0,0.0,0.0,0.0,0.6, she,0.0,17,0.0
0,65,65,False,0.0,0.0,0.0,0.0,0.0,0.6, eats,0.0,18,0.0
0,66,66,False,0.0,0.0,0.0,0.0,0.0,0.6, three,0.0,19,0.0
0,67,67,False,0.0,0.0,0.0,0.0,0.0,0.6, eggs,0.0,20,0.0
